cntry;name;portfolio;took_office;left_office;party;period;in_office;state_secs;ministry;term;deputies;position
SI;Samo Fakin;Minister of Health;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Alenka Bratušek;Minister of Infrastructre;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SI;Boštjan Poklukar;Minister of Interior;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Andreja Katič;Minister of Justice;2018-09-13;2020-03-13;SD;NA;NA;NA;NA;NA;NA;NA
SI;Ksenija Klampfer;Minister of Labour, Family, Social Affairs and Equal Opportunities;2018-09-13;2020-03-13;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Tugomir Kodelja (replaced);Minister of Public Administration;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Rudi Medved;Minister of Public Administration;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Peter Jožef Česnik;Minister without portfolio for Slovenian diaspora;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SI;Marko Bandelli (resigned);Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SI;Marko Bandelli (resigned);Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SI;Iztok Purič;Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SI;Iztok Purič;Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;2018-09-13;2020-03-13;SAB;NA;NA;NA;NA;NA;NA;NA
SK;Peter Pellegrini;Prime Minister;22 March 2018;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Richard Raši;Deputy Prime Minister for Investments and Informatization;22 March 2018;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Peter Kažimír;Deputy Prime MinisterMinister of Finance;22 March 2018;11 April 2019;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Peter Pellegrini (acting);Minister of Finance;11 April 2019;7 May 2019;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Ladislav Kamenický [sk];Minister of Finance;7 May 2019;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Gabriela Matečná [sk];Deputy Prime MinisterMinister of Agriculture and Rural Development;22 March 2018;21 March 2020;SNS;NA;NA;NA;NA;NA;NA;NA
SK;László Sólymos;Deputy Prime MinisterMinister of the Environment;22 March 2018;28 January 2020;Most–Híd;NA;NA;NA;NA;NA;NA;NA
SK;Árpád Érsek;Deputy Prime MinisterMinister of the Environment;28 January 2020;21 March 2020;Most-Híd;NA;NA;NA;NA;NA;NA;NA
SK;Tomáš Drucker [sk];Minister of Interior;22 March 2018;17 April 2018;Independent(SD);NA;NA;NA;NA;NA;NA;NA
SK;Denisa Saková;Minister of Interior;26 April 2018;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Gábor Gál [sk];Minister of Justice;22 March 2018;21 March 2020;Most–Híd;NA;NA;NA;NA;NA;NA;NA
SK;Miroslav Lajčák;Minister of Foreign Affairs;22 March 2018;21 March 2020;Independent(SD);NA;NA;NA;NA;NA;NA;NA
SK;Peter Žiga;Minister of Economy;22 March 2018;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Árpád Érsek;Minister of Transport, Construction and Regional Development;22 March 2018;21 March 2020;Most–Híd;NA;NA;NA;NA;NA;NA;NA
SK;Peter Gajdoš [sk];Minister of Defence;22 March 2018;21 March 2020;SNS;NA;NA;NA;NA;NA;NA;NA
SK;Ján Richter [sk];Minister of Labour, Social Affairs and Family;22 March 2018;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Martina Lubyová [sk];Minister of Education, Science, Research and Sport;22 March 2018;21 March 2020;Independent(SNS);NA;NA;NA;NA;NA;NA;NA
SK;Ľubica Laššáková;Minister of Culture;22 March 2018;21 March 2020;SD;NA;NA;NA;NA;NA;NA;NA
SK;Andrea Kalavská [pl];Minister of Health;22 March 2018;17 December 2019;Independent(SD);NA;NA;NA;NA;NA;NA;NA
SK;Peter Pellegrini (acting);Minister of Health;17 December 2019;21 March 2020;Smer–SD;NA;NA;NA;NA;NA;NA;NA
SK;Igor Matovič;Prime Minister;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Štefan Hollý;Deputy Prime Minister for Legislation and Strategic Planning;21 March 2020;1 April 2021;SR;NA;NA;NA;NA;NA;NA;NA
SK;Veronika Remišová;Deputy Prime Minister and Minister of Investments and Regional Development;21 March 2020;1 April 2021;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Richard Sulík;Deputy Prime Minister for Economic Affairs and Minister of Economy;21 March 2020;23 March 2021;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Andrej Doležal(acting);Deputy Prime Minister for Economic Affairs and Minister of Economy;23 March 2021;1 April 2021;Independent(SR);NA;NA;NA;NA;NA;NA;NA
SK;Eduard Heger;Deputy Prime Minister and Minister of Finance;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Roman Mikulec;Minister of Internal affairs;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Marek Krajčí;Minister of Health;21 March 2020;12 March 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Eduard Heger(acting);Minister of Health;12 March 2021;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Jaroslav Naď;Minister of Defence;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Mária Kolíková;Minister of Justice;21 March 2020;23 March 2021;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Veronika Remišová(acting);Minister of Justice;23 March 2021;1 April 2021;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Richard Sulík(acting);Minister of Foreign and European Affairs;21 March 2020;8 April 2020;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Ivan Korčok;Minister of Foreign and European Affairs;8 April 2020;25 March 2021;Independent(SaS);NA;NA;NA;NA;NA;NA;NA
SK;Jaroslav Naď(acting);Minister of Foreign and European Affairs;25 March 2021;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Branislav Gröhling;Minister of Education, Science, Research and Sport;21 March 2020;25 March 2021;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Eduard Heger(acting);Minister of Education, Science, Research and Sport;25 March 2021;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Milan Krajniak;Minister of Labour, Social Affairs and Family;21 March 2020;17 March 2021;SR;NA;NA;NA;NA;NA;NA;NA
SK;Andrej Doležal(acting);Minister of Labour, Social Affairs and Family;17 March 2021;1 April 2021;Independent(SR);NA;NA;NA;NA;NA;NA;NA
SK;Andrej Doležal;Minister of Transport and Construction;21 March 2020;1 April 2021;Independent(SR);NA;NA;NA;NA;NA;NA;NA
SK;Natália Milanová;Minister of Culture;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Ján Mičovský;Minister of Agriculture and Rural Development;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Ján Budaj;Minister of the Environment;21 March 2020;1 April 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Source: [5][6][7][8][9][10][11][12][13][14][15];Source: [5][6][7][8][9][10][11][12][13][14][15];Source: [5][6][7][8][9][10][11][12][13][14][15];Source: [5][6][7][8][9][10][11][12][13][14][15];Source: [5][6][7][8][9][10][11][12][13][14][15];NA;NA;NA;NA;NA;NA;NA
SK;Eduard Heger;Chairman of the Government;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Richard Sulík;First Vice-chairman of the Government for Economic Affairs and Minister of Economy;1 April 2021;Incumbent;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Igor Matovič;Vice-chairman of the Government and Minister of Finance;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Štefan Holý;Vice-chairman of the Government for Legislation and Strategic Planning;1 April 2021;Incumbent;SR;NA;NA;NA;NA;NA;NA;NA
SK;Veronika Remišová;Vice-chairman of the Government and Minister of Investments and Regional Development;1 April 2021;8 September 2021;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Veronika Remišová;Vice-chairman of the Government and Minister of Investments and Regional Development;8 September 2021;Incumbent;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Roman Mikulec;Minister of Interior;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Vladimír Lengvarský;Minister of Health;1 April 2021;Incumbent;Independent for OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Jaroslav Naď;Minister of Defence;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Mária Kolíková;Minister of Justice;1 April 2021;8 September 2021;ZĽ;NA;NA;NA;NA;NA;NA;NA
SK;Mária Kolíková;Minister of Justice;8 September 2021;Incumbent;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Ivan Korčok;Minister of Foreign and European Affairs;1 April 2021;Incumbent;Independent for SaS;NA;NA;NA;NA;NA;NA;NA
SK;Branislav Gröhling;Minister of Education, Science, Research and Sport;1 April 2021;Incumbent;SaS;NA;NA;NA;NA;NA;NA;NA
SK;Milan Krajniak;Minister of Labour, Social Affairs and Family;9 April 2021;Incumbent;SR;NA;NA;NA;NA;NA;NA;NA
SK;Andrej Doležal;Minister of Transport and Construction;1 April 2021;Incumbent;Independent for SR;NA;NA;NA;NA;NA;NA;NA
SK;Natália Milanová;Minister of Culture;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Ján Mičovský;Minister of Agriculture and Rural Development;1 April 2021;8 June 2021;OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Samuel Vlčan;Minister of Agriculture and Rural Development;8 June 2021;Incumbent;Independent for OĽaNO;NA;NA;NA;NA;NA;NA;NA
SK;Ján Budaj;Minister of Environment;1 April 2021;Incumbent;OĽaNO;NA;NA;NA;NA;NA;NA;NA
NA;Leo Varadkar;Taoiseach;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Leo Varadkar;Minister for Defence;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Frances Fitzgerald;Tánaiste;2017-06-14;2017-11-30;Fine Gael;NA;NA;NA;NA;2017[40];NA;NA
NA;Frances Fitzgerald;Minister for Business, Enterprise and Innovation[a];2017-06-14;2017-11-30;Fine Gael;NA;NA;NA;NA;2017[40];NA;NA
NA;Paschal Donohoe;Minister for Finance;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Paschal Donohoe;Minister for Public Expenditure and Reform;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Simon Coveney;Minister for Foreign Affairs and Trade;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Charles Flanagan;Minister for Justice and Equality;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Simon Harris;Minister for Health;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Heather Humphreys;Minister for Culture, Heritage and the Gaeltacht[b];2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017;NA;NA
NA;Michael Creed;Minister for Agriculture, Food and the Marine;2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Richard Bruton;Minister for Education and Skills;2017-06-14;2018-10-11;Fine Gael;NA;NA;NA;NA;2017–2018;NA;NA
NA;Denis Naughten;Minister for Communications, Climate Action and Environment;2017-06-14;2018-10-11;Independent;NA;NA;NA;NA;2017–2018;NA;NA
NA;Shane Ross;Minister for Transport, Tourism and Sport;2017-06-14;2020-06-27;Independent;NA;NA;NA;NA;2017–2020;NA;NA
NA;Katherine Zappone;Minister for Children and Youth Affairs;2017-06-14;2020-06-27;Independent;NA;NA;NA;NA;2017–2020;NA;NA
NA;Michael Ring;Minister for Rural and Community Development[c];2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Regina Doherty;Minister for Employment Affairs and Social Protection[d];2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Eoghan Murphy;Minister for Housing, Planning and Local Government[e];2017-06-14;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Simon Coveney;Tánaiste;2017-11-30;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Heather Humphreys;Minister for Business, Enterprise and Innovation;2017-11-30;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Josepha Madigan;Minister for Culture, Heritage and the Gaeltacht;2017-11-30;2020-06-27;Fine Gael;NA;NA;NA;NA;2017–2020;NA;NA
NA;Richard Bruton;Minister for Communications, Climate Action and Environment;2018-10-11;2020-06-27;Fine Gael;NA;NA;NA;NA;2018–2020;NA;NA
NA;Joe McHugh;Minister for Education and Skills;2018-10-11;2020-06-27;Fine Gael;NA;NA;NA;NA;2018–2020;NA;NA
NA;António Costa;Prime Minister;NA;NA;Socialist Party;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Augusto Santos Silva;Minister of Foreign Affairs;NA;NA;Socialist Party;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Maria Manuel Leitão Marques;Minister of Premiership and Administrative Modernization;NA;NA;Socialist Party;NA;26 November 2015 – 18 February 2019;NA;NA;NA;NA;NA
NA;Mariana Vieira da Silva;Minister of Premiership and Administrative Modernization;NA;NA;Socialist Party;NA;18 February 2019 – 26 October 2019;NA;NA;NA;NA;NA
NA;Mário Centeno;Minister of Finance;NA;NA;Independent;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;José Alberto Azeredo Lopes;Minister of National Defence;NA;NA;Independent;NA;26 November 2015 – 12 October 2018;NA;NA;NA;NA;NA
NA;João Gomes Cravinho;Minister of National Defence;NA;NA;Independent;NA;15 October 2018 – 26 October 2019;NA;NA;NA;NA;NA
NA;Constança Urbano de Sousa;Minister of Internal Administration;NA;NA;Independent;NA;26 November 2015 – 18 October 2017;NA;NA;NA;NA;NA
NA;Eduardo Cabrita;Minister of Internal Administration;NA;NA;Socialist Party;NA;21 October 2017 – 26 October 2019;NA;NA;NA;NA;NA
NA;Francisca Van Dunem;Minister of Justice;NA;NA;Independent;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Manuel Caldeira Cabral;"Minister of Economy
(position abolished on 15 October 2018)";NA;NA;Independent;NA;26 November 2015 – 15 October 2018;NA;NA;NA;NA;NA
NA;Eduardo Cabrita;"Deputy Minister
(position abolished on 15 October 2018)";NA;NA;Socialist Party;NA;26 November 2015 – 21 October 2017;NA;NA;NA;NA;NA
NA;Pedro Siza Vieira;"Deputy Minister
(position abolished on 15 October 2018)";NA;NA;Socialist Party;NA;21 October 2017 – 15 October 2018;NA;NA;NA;NA;NA
NA;Pedro Siza Vieira;"Deputy Minister and of Economy
(position created on 15 October 2018)";NA;NA;Socialist Party;NA;15 October 2018 – 26 October 2019;NA;NA;NA;NA;NA
NA;João Soares;Minister of Culture;NA;NA;Socialist Party;NA;26 November 2015 – 8 April 2016;NA;NA;NA;NA;NA
NA;Luís Filipe Castro Mendes;Minister of Culture;NA;NA;Independent;NA;14 April 2016 – 15 October 2018;NA;NA;NA;NA;NA
NA;Graça Fonseca;Minister of Culture;NA;NA;Socialist Party;NA;15 October 2018 – 26 October 2019;NA;NA;NA;NA;NA
NA;Manuel Heitor;MInister of Science, Technology and Higher Education;NA;NA;Independent;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Tiago Brandão Rodrigues;Minister of Education;NA;NA;Independent;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;José António Vieira da Silva;Minister of Labour, Solidarity and Social Security;NA;NA;Socialist Party;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Adalberto Campos Fernandes;Minister of Health;NA;NA;Independent;NA;26 November 2015 – 15 October 2018;NA;NA;NA;NA;NA
NA;Marta Temido;Minister of Health;NA;NA;Independent;NA;15 October 2018 – 26 October 2019;NA;NA;NA;NA;NA
NA;Pedro Marques;"Minister of Planning and Infrastructure
(position abolished on 18 February 2019)";NA;NA;Socialist Party;NA;26 November 2015 – 18 February 2019;NA;NA;NA;NA;NA
NA;Nelson de Souza;"Minister of Planning
(position created on 18 February 2019)";NA;NA;Socialist Party;NA;18 February 2019 – 26 October 2019;NA;NA;NA;NA;NA
NA;Pedro Nuno Santos;"Minister of Infrastructure and Housing
(position created on 18 February 2019)";NA;NA;Socialist Party;NA;18 February 2019 – 26 October 2019;NA;NA;NA;NA;NA
NA;João Pedro Matos Fernandes;"Minister of Environment
(position abolished on 15 October 2018)";NA;NA;Independent;NA;26 November 2015 – 15 October 2018;NA;NA;NA;NA;NA
NA;João Pedro Matos Fernandes;"Minister of Environment and Energy Transition
(position created on 15 October 2018)";NA;NA;Independent;NA;15 October 2018 – 26 October 2019;NA;NA;NA;NA;NA
NA;Luís Capoulas Santos;Minister of Agriculture;NA;NA;Socialist Party;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;Ana Paula Vitorino;Minister of Sea;NA;NA;Socialist Party;NA;26 November 2015 – 26 October 2019;NA;NA;NA;NA;NA
NA;António Costa;Prime Minister;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Pedro Siza Vieira;Minister of State, Economy and Digital Transition;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Augusto Santos Silva;Minister of State and Foreign Affairs;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Mariana Vieira da Silva;Minister of State and the Premiership;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Mário Centeno;Minister of State and Finance;NA;NA;Independent;NA;26 October 2019 – 15 June 2020;NA;NA;NA;NA;NA
NA;João Leão;Minister of State and Finance;NA;NA;Independent;NA;15 June 2020 – present;NA;NA;NA;NA;NA
NA;João Gomes Cravinho;Minister of National Defence;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Eduardo Cabrita;Minister of Internal Administration;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Francisca Van Dunem;Minister of Justice;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Alexandra Leitão;Minister of Modernisation of the State and Public Administration;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Nelson de Souza;Minister of Planning;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Graça Fonseca;Minister of Culture;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Manuel Heitor;Minister of Science, Technology and Higher Education;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Tiago Brandão Rodrigues;Minister of Education;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Ana Mendes Godinho;Minister of Labour, Solidarity and Social Security;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Marta Temido;Minister of Health;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;João Pedro Matos Fernandes;Minister of Environment and Climate Action;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Pedro Nuno Santos;Minister of Infrastructure and Housing;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Ana Abrunhosa;Minister of Territorial Cohesion;NA;NA;Independent;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Maria do Céu Antunes;Minister of Agriculture;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
NA;Ricardo Serrão Santos;Minister of Sea;NA;NA;Socialist Party;NA;26 October 2019 – present;NA;NA;NA;NA;NA
