cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
ROU;Cristian Ghinea;Minister of Investments and European Projects;USR;Uniunea Sârbilor din România;USR;Union of Serbs in Romania;Designated party to represent the Serb minority in Romania;NA;"In favour of EU integration;"
ROU;Florin Cîțu (acting);Minister of Investments and European Projects;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Eduard Novak;Minister for Youth and Sport;UDMR;Uniunea Democrată Maghiară din România;UDMR;Democratic Alliance of Hungarians in Romania;Centre-right;EPP;"In favour of EU integration;"
ROU;Nicolae Ciucă;Prime Minister;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Sorin Grindeanu;Deputy Prime Minister;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Kelemen Hunor;Deputy Prime Minister;UDMR;Uniunea Democrată Maghiară din România;UDMR;Democratic Alliance of Hungarians in Romania;Centre-right;EPP;"In favour of EU integration;"
ROU;Marian Neacșu;Secretary-General of the Government;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Bogdan Aurescu;Minister of Foreign Affairs;Independent;NI;NI;NI;NI;NI;NI
ROU;Lucian Bode;Minister of Internal Affairs;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Adrian Chesnoiu;Minister of Agriculture and Rural Development;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Vasile Dîncu;Minister of National Defence;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Florin Roman;Minister of Research, Innovation and Digitalisation;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
ROU;Lucian Romașcanu;Minister of Culture;PSD;Partidul Social Democrat;PSD;Social Democratic Party;Centre-left;S&D;"Neutral towards EU integration;"
ROU;Cseke Attila;Minister of Development, Public Works and Administration;UDMR;Uniunea Democrată Maghiară din România;UDMR;Democratic Alliance of Hungarians in Romania;Centre-right;EPP;"In favour of EU integration;"
ROU;Sorin Cîmpeanu;Minister of Education;PNL;Partidul Național Liberal;PNL;National Liberal Party;Centre-right;EPP;"In favour of EU integration;"
